YouTube ID,start seconds,end seconds,label,split
--U7joUcTCo,0,8000,playing electronic organ,decoder_train
-3z5mFRgbxc,30000,38000,driving buses,decoder_train
-4viN_EoxOA,0,8000,planing timber,decoder_train
-7sg--aJdrc,39000,47000,gibbon howling,decoder_train
-A1o1Egi20c,60000,68000,church bell ringing,decoder_train
-OAyRsvFGgc,30000,38000,tapping guitar,decoder_train
-Sd-j0rKeKw,30000,38000,playing electric guitar,decoder_train
-VLOm8cJZRI,70000,78000,playing theremin,decoder_train
-aXWYfAdovc,230000,238000,bird squawking,decoder_train
-dRucPKqTFc,7000,15000,waterfall burbling,decoder_train
-f1DNyngKVY,30000,38000,people marching,decoder_train
-h5ZGw9Ci5c,450000,458000,playing bass drum,decoder_train
-jaY3LS3Dv0,30000,38000,spraying water,decoder_train
-nlkWWphiaM,30000,38000,opening or closing drawers,decoder_train
-uaTK8sa5Ms,10000,18000,airplane flyby,decoder_train
0-6N0Qagy5A,10000,18000,playing synthesizer,decoder_train
0-EgET9q3qE,30000,38000,duck quacking,decoder_train
0-jDld11jhw,164000,172000,playing cornet,decoder_train
0-jDld11jhw,93000,101000,playing cornet,decoder_train
0-o0oZvSFOk,30000,38000,goat bleating,decoder_train
00KM53yZi2A,30000,38000,printer printing,decoder_train
00QQLLcny14,83000,91000,"electric shaver, electric razor shaving",decoder_train
00gxEsWO4mo,259000,267000,cheetah chirrup,decoder_train
00wORCOKNHw,14000,22000,horse clip-clop,decoder_train
00z0M1DJyAw,90000,98000,turkey gobbling,decoder_train
01Iho7loxL0,15000,23000,barn swallow calling,decoder_train
01SaXyGY5SM,30000,38000,male singing,decoder_train
01j_x89dowI,481000,489000,barn swallow calling,decoder_train
02Ak1eIyj3M,30000,38000,"donkey, ass braying",decoder_train
05GsUEyThd8,13000,21000,parrot talking,decoder_train
07FxCXxknY4,30000,38000,"rowboat, canoe, kayak rowing",decoder_train
0B7fwvTtvLM,0,8000,basketball bounce,decoder_train
0BCkxfdk6fk,761000,769000,striking pool,decoder_train
0BauNGmZtTU,250000,258000,"female speech, woman speaking",decoder_train
0Br877mW7_c,10000,18000,blowtorch igniting,decoder_train
0CA5CPHRXDc,0,8000,mosquito buzzing,decoder_train
0CEsVHHkwww,30000,38000,mosquito buzzing,decoder_train
0CQnnJq9xn0,75000,83000,tap dancing,decoder_train
0CTgEP0SIVg,10000,18000,"bird chirping, tweeting",decoder_train
0Cl6hXpryhY,30000,38000,playing electric guitar,decoder_train
0Cu33yBwAPg,60000,68000,"bird chirping, tweeting",decoder_train
0CzC0-cXe8M,30000,38000,male singing,decoder_train
0D8KognM4uY,282000,290000,playing hockey,decoder_train
0DOFzYwOoPg,133000,141000,cell phone buzzing,decoder_train
0DzsPL-xElE,20000,28000,chainsawing trees,decoder_train
0E6KS8B6DMc,540000,548000,playing bass drum,decoder_train
0F04c_rY4aw,0,8000,dog howling,decoder_train
0G50t4FlbIA,60000,68000,people screaming,decoder_train
0GBi8uR4ZeM,7000,15000,playing bassoon,decoder_train
0H2tR-oOvIY,3000,11000,footsteps on snow,decoder_train
0HBJuYt2Eys,32000,40000,rope skipping,decoder_train
0HXYdGGKV2k,30000,38000,wind rustling leaves,decoder_train
0HbhE91JB-k,360000,368000,rope skipping,decoder_train
0IzhjqyDzt8,0,8000,church bell ringing,decoder_train
0J_TdiZ3TKA,30000,38000,church bell ringing,decoder_train
0Jq6WJLLSIk,4000,12000,playing accordion,decoder_train
0KAeUAAoVnY,143000,151000,firing muskets,decoder_train
0KAeUAAoVnY,186000,194000,firing muskets,decoder_train
0KIC9xmmD8g,105000,113000,police radio chatter,decoder_train
0KOPvSUlNjI,180000,188000,shot football,decoder_train
0LY5zuRlIac,0,8000,child singing,decoder_train
0LwSy-xZSPw,112000,120000,male singing,decoder_train
0MU2SG5ME1E,16000,24000,skateboarding,decoder_train
0N3-lCzOQPI,0,8000,frog croaking,decoder_train
0N6S5OoG7Vg,150000,158000,"female speech, woman speaking",decoder_train
0N9EN0BEjP0,430000,438000,driving buses,decoder_train
0NZLG7HMiLg,590000,598000,skidding,decoder_train
0NZQRllfNhE,140000,148000,skidding,decoder_train
0OFlTh2_Obo,30000,38000,dog bow-wow,decoder_train
0OLYyjqNdn4,352000,360000,goose honking,decoder_train
0Olm321vgk8,30000,38000,male singing,decoder_train
0PKdFG3iB8w,430000,438000,playing accordion,decoder_train
0QSPtpp1HN8,30000,38000,playing cymbal,decoder_train
0QYedLfOwcI,40000,48000,playing cymbal,decoder_train
0R85JknaH-w,90000,98000,splashing water,decoder_train
0RZRFj7zDnQ,30000,38000,"male speech, man speaking",decoder_train
0Rqa18lmDtw,153000,161000,driving motorcycle,decoder_train
0SnjS2w_c80,520000,528000,wind rustling leaves,decoder_train
